Company,Country,Sector,Industry,ISIN,Year,Published,CSRD Compliant,Report Year,Pages,Report Link
"Coloplast A/S","Denmark","Health Care","Medical Equipment & Supplies","DK0060448595","2025","2025-11-04","full","Second Year CSRD","65","https://www.coloplast.com/siteassets/investors/results-reports--presentations/annual-reports/11_2025_annual_report_2024-25.pdf"
"Ramsay Generale de Sante SA","France","Health Care","Health Care Delivery","FR0000044471","2025","2025-10-29","partial","First Year CSRD","151","https://www.ramsayhealth.com/globalassets/global/investor-centre/investor-centre-pdfs/ramsay-sante-universal-registration-document-2025.pdf"
"Recordati SpA","Italy","Health Care","Biotechnology & Pharmaceuticals","IT0003828271","2024","2025-05-19","full","First Year CSRD","137","https://annualreport.recordati.com/wp-content/uploads/2025/04/ANNUAL-REPORT-2024.pdf#page=1"
"Asklepios Kliniken","Germany","Health Care","Health Care Distributors","DE000A0ETLQ3","2024","2025-04-30","full","First Year CSRD","119","https://www.asklepios.com/dam/jcr:b88b535a-3aaf-4c77-b3ff-39c2b9ed5188/ASK_Annual%20Report%202024.pdf"
"Emeis Group (ex. ORPEA)","France","Health Care","Health Care Delivery","FR001400NLM4","2024","2025-04-30","full","First Year CSRD","151","https://www.emeis.com/system/files/medias/documents/emeisdeu2024ukmel.pdf"
"QIAGEN","Netherlands","Health Care","Biotechnology & Pharmaceuticals","NL0015001WM6","2025","2025-04-29","full","Second Year CSRD","156","https://s28.q4cdn.com/125951340/files/doc_financials/2025/ar/2025-IFRS-Annual-Report-FINAL-April-29-0805-pm.pdf"
"Gedeon Richter","Hungary","Health Care","Biotechnology & Pharmaceuticals","HU0000123096","2024","2025-04-29","full","First Year CSRD","82","https://www.gedeonrichter.com/-/media/sites/hq/documents/investors/financial-reports/annual-report/en/2024/annual-report-2024-nonofficial.pdf"
"Ion Beam Applications (IBA)","Belgium","Health Care","Medical Equipment & Supplies","BE0003766806","2024","2025-04-28","full","First Year CSRD","81","https://www.iba-worldwide.com/sites/default/files/2025-04/iba-annual-report_2024_en.pdf"
"CUF","Portugal","Health Care","Health Care Delivery","","2024","2025-04-23","full","First Year CSRD","123","https://www.cuf.pt/media/53524/download?inline="
"Evotec SE","Germany","Health Care","Biotechnology & Pharmaceuticals","DE0005664809","2024","2025-04-17","partial","First Year CSRD","53","https://www.evotec.com/uploads/download-files/IR-ESG/2024/Sustainability-Report-2024-final_secure.pdf"
"GVS SpA","Italy","Health Care","Medical Equipment & Supplies","IT0005411209","2024","2025-04-17","full","First Year CSRD","134","https://static.gvs.com/investor-relations/documents/202504171553-6834430a9272fd25/Annual-Financial-Report-2024.pdf"
